,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,St. John's (NY),L,57,66,19,60,.317,8,22,.364,11,20,.550,10,35,8,7,2,12,26,,21,47,.447,9,20,.450,15,25,.600,5,31,12,3,5,14,22
2,2,2015-11-15,@,Seton Hall,L,59,69,23,61,.377,6,20,.300,7,15,.467,16,35,12,12,0,20,28,,20,47,.426,5,17,.294,24,28,.857,9,37,12,8,3,23,18
3,3,2015-11-21,,Maine,W,87,73,28,61,.459,8,21,.381,23,32,.719,16,43,18,10,4,18,29,,22,51,.431,6,21,.286,23,37,.622,6,29,8,9,3,17,23
4,4,2015-11-28,,Staten Island,W,83,59,28,71,.394,3,21,.143,24,29,.828,20,42,9,9,3,15,21,,21,52,.404,4,15,.267,13,20,.650,5,21,15,6,4,21,25
5,5,2015-12-02,,Morgan State,W,62,61,21,55,.382,7,20,.350,13,17,.765,11,40,13,5,7,16,16,,23,61,.377,8,16,.500,7,9,.778,7,28,12,6,2,13,16
6,6,2015-12-06,,American,W,55,48,18,57,.316,2,16,.125,17,18,.944,11,33,7,11,5,16,19,,15,46,.326,6,16,.375,12,17,.706,7,31,10,7,4,19,23
7,7,2015-12-08,@,Rider,W,65,64,26,56,.464,6,21,.286,7,10,.700,8,30,12,8,2,12,14,,24,61,.393,6,21,.286,10,13,.769,9,29,16,6,4,11,11
8,8,2015-12-13,@,Monmouth,L,54,73,21,64,.328,6,24,.250,6,12,.500,13,33,9,6,2,13,20,,25,49,.510,8,16,.500,15,18,.833,3,29,15,4,7,14,17
9,9,2015-12-18,@,Fairfield,W,76,64,26,61,.426,13,23,.565,11,12,.917,12,40,16,8,1,12,18,,25,59,.424,6,23,.261,8,13,.615,9,30,10,4,1,13,15
10,10,2015-12-22,@,George Mason,L,60,71,22,61,.361,7,24,.292,9,11,.818,5,27,8,7,3,7,30,,20,46,.435,7,14,.500,24,36,.667,8,42,9,3,7,15,17
11,11,2015-12-30,,UMass-Lowell,W,76,62,25,46,.543,5,11,.455,21,29,.724,5,30,16,10,1,17,22,,22,46,.478,7,21,.333,11,22,.500,3,20,13,7,2,18,24
12,12,2016-01-02,@,Saint Francis (PA),L,65,73,24,63,.381,4,21,.190,13,18,.722,14,35,13,7,7,13,28,,26,52,.500,3,10,.300,18,28,.643,6,29,10,3,3,13,16
13,13,2016-01-04,@,Robert Morris,W,72,69,23,57,.404,7,15,.467,19,24,.792,20,41,13,4,0,19,21,,23,50,.460,5,16,.313,18,23,.783,9,23,13,12,4,14,18
14,14,2016-01-07,,Bryant,W,65,56,22,63,.349,6,20,.300,15,20,.750,15,40,16,5,7,10,20,,18,51,.353,6,17,.353,14,24,.583,8,32,14,7,5,13,20
15,15,2016-01-09,@,Sacred Heart,W,76,59,29,59,.492,8,16,.500,10,15,.667,11,34,12,7,5,12,19,,20,51,.392,5,16,.313,14,19,.737,7,25,8,7,4,15,16
16,16,2016-01-14,,LIU-Brooklyn,L,70,71,25,56,.446,7,19,.368,13,24,.542,13,36,14,7,4,13,27,,22,55,.400,4,16,.250,23,30,.767,7,23,11,6,2,9,24
17,17,2016-01-16,,Central Connecticut,W,70,48,30,59,.508,4,17,.235,6,11,.545,8,35,19,9,6,13,15,,19,54,.352,4,15,.267,6,9,.667,4,22,8,5,0,17,16
18,18,2016-01-21,@,St. Francis (NY),W,83,59,32,58,.552,5,8,.625,14,18,.778,10,39,17,8,2,10,20,,22,54,.407,5,19,.263,10,16,.625,7,24,10,5,6,12,14
