Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,UMBC,W,78,73,26,69,.377,3,20,.150,23,30,.767,23,56,12,2,11,16,21,,26,65,.400,9,25,.360,12,25,.480,9,32,10,10,3,8,27
2,2,2015-11-15,@,Bucknell,W,90,82,29,63,.460,4,12,.333,28,38,.737,12,42,12,3,6,9,24,,24,62,.387,11,29,.379,23,29,.793,8,28,18,6,4,8,28
3,3,2015-11-18,,Richmond,L,82,91,28,49,.571,7,15,.467,19,33,.576,11,37,16,1,3,20,21,,32,62,.516,11,23,.478,16,22,.727,7,23,18,11,3,6,27
4,4,2015-11-23,N,Indiana,W,82,78,35,69,.507,6,14,.429,6,12,.500,14,37,6,6,1,17,18,,26,60,.433,10,29,.345,16,22,.727,10,28,17,9,6,14,15
5,5,2015-11-24,N,Vanderbilt,L,64,86,19,58,.328,3,18,.167,23,32,.719,11,32,7,7,2,12,22,,31,63,.492,7,17,.412,17,22,.773,13,42,14,6,4,8,25
6,6,2015-11-25,N,UCLA,W,80,77,21,52,.404,8,21,.381,30,42,.714,9,37,13,8,4,10,22,,33,71,.465,3,11,.273,8,14,.571,13,42,11,4,4,11,28
7,7,2015-11-30,@,Rutgers,W,69,68,23,58,.397,5,18,.278,18,25,.720,10,44,11,3,10,18,19,,27,74,.365,3,15,.200,11,18,.611,10,36,6,7,6,9,22
8,8,2015-12-04,,Arkansas,W,88,85,31,60,.517,9,22,.409,17,23,.739,12,32,18,1,6,15,20,,32,69,.464,5,17,.294,16,19,.842,10,28,15,8,4,8,24
9,9,2015-12-15,,North Carolina-Greensboro,W,81,71,23,47,.489,8,20,.400,27,39,.692,6,32,15,7,8,16,17,,27,63,.429,7,23,.304,10,12,.833,9,31,13,11,0,17,26
10,10,2015-12-18,,Coastal Carolina,W,83,77,31,56,.554,9,24,.375,12,22,.545,11,29,23,8,5,11,19,,27,55,.491,8,20,.400,15,22,.682,8,24,14,5,1,13,21
11,11,2015-12-22,,Xavier,L,70,78,20,58,.345,7,26,.269,23,27,.852,11,35,13,9,5,17,26,,26,61,.426,6,21,.286,20,28,.714,11,38,9,9,0,17,22
12,12,2015-12-29,@,LSU,W,77,71,24,59,.407,8,24,.333,21,29,.724,13,37,12,9,5,18,23,,24,51,.471,2,14,.143,21,29,.724,5,30,9,7,2,17,24
13,13,2016-01-03,@,Louisville,L,57,65,24,61,.393,6,18,.333,3,12,.250,9,31,18,5,3,8,18,,25,55,.455,5,12,.417,10,14,.714,9,38,7,5,6,12,15
14,14,2016-01-06,,Duke,L,75,91,29,65,.446,5,18,.278,12,20,.600,14,33,15,5,3,12,19,,30,58,.517,6,17,.353,25,27,.926,7,27,13,7,8,6,20
15,15,2016-01-10,,North Carolina State,W,77,74,25,58,.431,8,20,.400,19,28,.679,10,37,15,6,3,10,17,,30,71,.423,8,25,.320,6,10,.600,14,38,18,4,3,10,23
16,16,2016-01-13,@,Virginia Tech,L,91,93,33,56,.589,13,24,.542,12,18,.667,8,31,17,4,4,15,25,,28,56,.500,8,18,.444,29,35,.829,6,21,14,8,1,6,18
17,17,2016-01-16,,Syracuse,L,55,83,14,43,.326,2,20,.100,25,42,.595,8,34,9,9,3,18,19,,28,63,.444,10,25,.400,17,25,.680,13,39,13,12,3,12,27
18,18,2016-01-20,@,UNC,L,68,83,27,67,.403,2,18,.111,12,20,.600,15,46,14,7,5,19,24,,28,73,.384,3,18,.167,24,34,.706,17,46,14,15,7,10,17
19,19,2016-01-23,@,Miami (FL),L,63,77,23,59,.390,6,18,.333,11,18,.611,14,36,13,6,4,16,22,,23,64,.359,7,20,.350,24,28,.857,16,41,12,12,4,10,16
20,20,2016-01-26,,Virginia,L,71,72,23,43,.535,6,17,.353,19,29,.655,4,27,12,6,3,11,15,,27,56,.482,5,17,.294,13,17,.765,5,24,13,7,3,9,23
21,21,2016-01-31,@,Notre Dame,L,62,85,23,52,.442,4,16,.250,12,19,.632,7,27,13,8,2,18,15,,31,60,.517,9,26,.346,14,18,.778,11,36,15,13,4,14,16
22,22,2016-02-02,,Clemson,L,62,76,22,53,.415,5,18,.278,13,23,.565,8,31,12,4,2,15,25,,23,52,.442,4,17,.235,26,30,.867,7,33,8,8,7,11,17
23,23,2016-02-06,,Florida State,L,71,91,23,51,.451,7,20,.350,18,25,.720,6,29,15,3,3,13,18,,34,68,.500,10,24,.417,13,19,.684,9,32,14,6,2,6,21
24,24,2016-02-10,@,Georgia Tech,L,66,71,25,56,.446,3,17,.176,13,17,.765,8,32,15,7,3,16,19,,28,62,.452,2,10,.200,13,20,.650,12,34,14,7,5,12,15
25,25,2016-02-13,@,North Carolina State,L,88,99,31,66,.470,8,25,.320,18,27,.667,13,36,11,5,7,11,32,,29,58,.500,8,20,.400,33,45,.733,9,35,9,3,5,9,18
26,26,2016-02-16,@,Pitt,L (2 OT),96,101,34,67,.507,12,29,.414,16,32,.500,7,32,24,8,5,12,28,,33,83,.398,7,23,.304,28,37,.757,23,54,20,7,3,10,23
27,27,2016-02-21,,Boston College,W,74,48,27,59,.458,8,18,.444,12,17,.706,11,45,17,12,4,15,14,,18,58,.310,6,30,.200,6,7,.857,6,28,7,8,5,18,19
28,28,2016-02-24,,Notre Dame,L,58,69,22,70,.314,4,24,.167,10,17,.588,18,42,14,7,5,7,16,,24,55,.436,4,18,.222,17,20,.850,6,38,9,5,6,12,16
29,29,2016-02-28,,Virginia Tech,L,74,81,26,53,.491,4,19,.211,18,25,.720,8,33,10,7,4,19,25,,25,52,.481,7,19,.368,24,33,.727,8,29,11,10,2,14,22
30,30,2016-03-01,@,Duke,L,71,79,27,60,.450,7,21,.333,10,17,.588,10,41,15,2,3,17,26,,23,63,.365,8,20,.400,25,38,.658,13,38,13,12,3,8,18
