Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Texas,W,77,71,25,72,.347,3,20,.150,24,40,.600,22,59,12,8,8,17,34,,19,73,.260,2,15,.133,31,48,.646,22,49,5,7,8,13,28
2,2,2015-11-19,,Mount St. Mary's,W,100,67,34,67,.507,5,16,.313,27,40,.675,16,55,13,10,7,19,18,,24,77,.312,9,37,.243,10,11,.909,9,27,6,7,5,15,30
3,3,2015-11-21,,Penn,W,104,67,40,78,.513,8,20,.400,16,21,.762,15,47,18,7,8,11,29,,21,64,.328,6,28,.214,19,31,.613,14,37,11,4,0,16,18
4,4,2015-11-25,N,Gonzaga,L,64,80,19,74,.257,4,20,.200,22,30,.733,20,42,9,4,2,12,31,,24,48,.500,2,8,.250,30,44,.682,9,45,12,6,2,17,28
5,5,2015-11-26,N,Texas,L,70,82,24,59,.407,10,24,.417,12,17,.706,14,31,12,2,7,18,32,,23,58,.397,6,15,.400,30,42,.714,17,37,10,8,2,10,25
6,6,2015-11-27,N,Charlotte,W,71,66,24,60,.400,4,14,.286,19,25,.760,11,38,9,7,4,16,21,,26,64,.406,6,17,.353,8,16,.500,12,36,17,7,5,19,25
7,7,2015-12-06,,Cal State Fullerton,W,87,69,29,65,.446,11,26,.423,18,28,.643,15,39,18,8,11,17,21,,21,61,.344,7,19,.368,20,31,.645,14,35,8,10,2,19,24
8,8,2015-12-08,,Texas Christian,W,92,67,31,64,.484,11,24,.458,19,28,.679,14,39,18,16,6,19,22,,27,63,.429,3,12,.250,10,22,.455,17,38,7,7,3,26,25
9,9,2015-12-12,,Montana,W,92,62,27,59,.458,10,25,.400,28,41,.683,12,39,15,11,9,17,23,,21,65,.323,7,24,.292,13,21,.619,13,35,12,6,3,21,30
10,10,2015-12-19,,Oakland,L,83,97,30,76,.395,11,37,.297,12,17,.706,10,35,23,6,8,12,20,,38,79,.481,7,25,.280,14,19,.737,14,50,19,4,5,12,19
11,11,2015-12-22,,Seattle,W,79,68,29,64,.453,7,27,.259,14,16,.875,11,31,19,8,9,15,17,,28,56,.500,7,11,.636,5,13,.385,8,29,16,6,2,17,13
12,12,2015-12-28,,UCSB,L,78,83,27,68,.397,6,27,.222,18,27,.667,16,36,14,7,9,11,17,,30,66,.455,7,19,.368,16,18,.889,10,39,15,4,2,16,22
13,13,2016-01-01,,UCLA,W (2 OT),96,93,29,80,.363,11,34,.324,27,40,.675,21,45,17,11,4,16,33,,26,69,.377,3,11,.273,38,50,.760,18,53,11,10,4,24,31
