Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Wittenberg,W,77,55,27,55,.491,6,20,.300,17,26,.654,9,34,17,14,7,12,16,,20,51,.392,10,25,.400,5,13,.385,8,27,14,8,0,21,22
2,2,2013-11-11,,North Carolina-Asheville,W,74,67,26,63,.413,7,14,.500,15,24,.625,16,30,11,13,6,11,20,,20,50,.400,7,19,.368,20,27,.741,15,35,11,6,7,17,19
3,3,2013-11-13,@,Oregon,L,83,107,27,59,.458,9,20,.450,20,31,.645,11,26,12,6,2,15,34,,32,49,.653,8,14,.571,35,47,.745,5,28,15,9,0,11,19
4,4,2013-11-15,@,Virginia Tech,L,61,79,20,61,.328,3,25,.120,18,31,.581,12,31,9,6,4,10,32,,25,52,.481,6,13,.462,23,41,.561,11,41,13,5,4,12,22
5,5,2013-11-16,@,Liberty,W,68,63,22,60,.367,7,20,.350,17,20,.850,12,34,14,5,4,11,19,,21,57,.368,3,13,.231,18,24,.750,11,31,8,9,6,12,19
6,6,2013-11-21,@,Kent State,L,59,72,22,61,.361,4,15,.267,11,17,.647,14,32,9,7,4,12,24,,23,61,.377,2,18,.111,24,30,.800,19,45,8,7,5,11,18
7,7,2013-11-22,N,Niagara,W,98,90,33,56,.589,10,16,.625,22,32,.688,9,32,16,9,4,20,24,,29,59,.492,8,21,.381,24,32,.750,9,24,14,6,1,15,26
8,8,2013-11-23,N,South Carolina Upstate,L,58,72,23,67,.343,5,26,.192,7,11,.636,12,29,10,5,2,10,20,,25,53,.472,3,16,.188,19,24,.792,9,34,18,5,5,9,15
9,9,2013-11-26,,Limestone,W,78,69,26,72,.361,12,33,.364,14,23,.609,16,44,14,4,10,15,16,,25,62,.403,9,26,.346,10,14,.714,10,35,13,8,4,13,15
10,10,2013-11-30,@,Wright State,L,77,85,24,57,.421,9,23,.391,20,28,.714,7,31,8,10,4,17,31,,24,49,.490,8,16,.500,29,40,.725,4,35,18,4,5,16,25
11,11,2013-12-04,@,Coastal Carolina,L,68,76,23,59,.390,8,29,.276,14,25,.560,13,31,9,8,1,15,21,,27,57,.474,3,19,.158,19,23,.826,12,40,12,7,1,21,20
12,12,2013-12-16,@,Cleveland State,L,55,66,19,52,.365,5,14,.357,12,17,.706,9,29,9,8,3,18,17,,22,48,.458,4,16,.250,18,24,.750,4,29,10,9,1,15,16
13,13,2013-12-18,,Charleston Southern,W,92,84,29,61,.475,20,35,.571,14,18,.778,9,38,21,3,3,14,20,,27,63,.429,11,31,.355,19,26,.731,9,32,15,7,3,9,17
14,14,2013-12-21,@,Georgia,L,63,65,23,52,.442,9,22,.409,8,10,.800,9,24,12,5,4,9,26,,18,36,.500,5,10,.500,24,38,.632,7,22,9,3,3,10,13
15,15,2013-12-30,,Milligan,W,106,72,35,72,.486,13,31,.419,23,27,.852,18,51,20,6,8,6,16,,26,67,.388,9,30,.300,11,15,.733,5,23,13,4,1,10,20
16,16,2014-01-02,,North Carolina-Greensboro,W,72,51,27,60,.450,9,22,.409,9,13,.692,6,24,15,14,5,10,13,,17,43,.395,2,7,.286,15,17,.882,5,30,9,5,3,23,11
17,17,2014-01-04,,Elon,W,74,62,28,65,.431,6,15,.400,12,15,.800,12,31,14,14,4,14,21,,20,44,.455,5,14,.357,17,26,.654,7,30,9,9,1,23,16
18,18,2014-01-11,@,Georgia Southern,W,68,67,25,54,.463,5,16,.313,13,21,.619,7,30,13,8,4,10,21,,24,52,.462,2,15,.133,17,29,.586,7,31,9,3,2,11,18
19,19,2014-01-18,,Samford,W,67,64,22,53,.415,7,21,.333,16,25,.640,13,34,12,6,6,13,20,,21,49,.429,5,16,.313,17,28,.607,10,28,10,8,1,9,16
20,20,2014-01-20,@,Wofford,L,60,71,20,63,.317,7,22,.318,13,16,.813,14,35,7,8,5,14,23,,22,49,.449,5,10,.500,22,30,.733,6,32,13,7,3,11,15
21,21,2014-01-23,,Davidson,L,77,82,27,65,.415,7,17,.412,16,20,.800,13,21,9,8,5,6,23,,28,49,.571,10,17,.588,16,21,.762,10,36,16,3,3,21,21
22,22,2014-01-25,@,Citadel,W,78,60,30,66,.455,7,21,.333,11,14,.786,13,41,16,3,6,13,25,,15,46,.326,4,18,.222,26,33,.788,5,26,11,7,1,13,14
23,23,2014-01-30,@,Elon,L,60,74,25,62,.403,10,23,.435,0,0,,14,28,10,8,5,14,16,,26,49,.531,9,17,.529,13,23,.565,10,31,12,8,2,12,7
24,24,2014-02-08,,Appalachian State,W (1 OT),84,75,24,54,.444,5,14,.357,31,42,.738,11,33,10,6,8,13,29,,23,57,.404,2,9,.222,27,39,.692,14,33,11,7,2,14,31
25,25,2014-02-10,,Furman,W,83,75,30,64,.469,8,26,.308,15,18,.833,8,27,18,11,3,9,24,,24,51,.471,2,12,.167,25,33,.758,5,28,5,4,4,15,16
26,26,2014-02-14,@,Chattanooga,L,73,83,26,68,.382,4,25,.160,17,26,.654,16,37,11,7,9,9,25,,26,61,.426,6,16,.375,25,35,.714,14,45,16,4,4,13,20
27,27,2014-02-16,@,North Carolina-Greensboro,W (1 OT),82,77,25,57,.439,7,18,.389,25,31,.806,9,34,11,7,2,15,25,,27,57,.474,3,12,.250,20,30,.667,9,32,9,6,3,16,25
28,28,2014-02-20,@,Appalachian State,W,74,61,25,51,.490,5,13,.385,19,22,.864,4,30,14,9,5,14,25,,22,52,.423,1,11,.091,16,33,.485,11,28,7,5,2,13,15
29,29,2014-02-22,,Citadel,W,70,52,24,54,.444,5,17,.294,17,23,.739,9,37,12,7,9,9,15,,17,54,.315,5,15,.333,13,20,.650,8,30,7,3,1,13,17
30,30,2014-02-27,,Chattanooga,L (1 OT),81,83,27,61,.443,12,27,.444,15,22,.682,12,30,15,3,5,13,23,,23,50,.460,8,16,.500,29,38,.763,11,31,7,9,3,14,16
31,31,2014-03-01,@,Samford,L,86,93,27,56,.482,4,16,.250,28,38,.737,12,27,12,4,3,10,29,,28,47,.596,4,11,.364,33,39,.846,6,27,17,3,2,9,28
32,32,2014-03-08,N,Elon,W,66,64,24,60,.400,4,16,.250,14,22,.636,16,37,10,6,8,12,19,,23,53,.434,5,19,.263,13,22,.591,9,30,11,6,3,13,18
33,33,2014-03-09,N,Davidson,W (1 OT),99,97,33,64,.516,6,16,.375,27,34,.794,14,34,10,6,2,7,30,,28,51,.549,8,23,.348,33,41,.805,6,24,13,5,1,9,24
34,34,2014-03-10,N,Wofford,L,53,56,20,57,.351,3,18,.167,10,12,.833,12,35,5,4,5,8,17,,21,53,.396,7,21,.333,7,15,.467,10,30,12,5,2,4,14
