,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Cincinnati,L,72,97,26,70,.371,9,32,.281,11,14,.786,12,24,13,8,4,11,20,,36,59,.610,6,14,.429,19,27,.704,11,41,19,8,7,17,15
2,2,2015-11-15,,North Carolina-Asheville,W,90,81,31,59,.525,7,21,.333,21,26,.808,7,27,19,9,0,8,29,,24,44,.545,5,14,.357,28,37,.757,6,26,8,4,4,19,26
3,3,2015-11-21,@,High Point,L,69,75,23,69,.333,6,33,.182,17,24,.708,18,41,12,4,0,10,19,,26,58,.448,1,12,.083,22,24,.917,11,39,14,5,3,11,20
4,4,2015-11-24,,Hiwassee,W,88,63,31,74,.419,9,26,.346,17,30,.567,21,54,17,15,6,16,20,,23,62,.371,3,19,.158,14,24,.583,9,36,10,13,4,17,22
5,5,2015-11-27,@,College of Charleston,L,56,57,16,40,.400,5,16,.313,19,26,.731,7,32,6,5,4,24,25,,19,57,.333,4,18,.222,15,25,.600,12,27,9,10,4,15,23
6,6,2015-11-30,@,South Carolina,L,53,76,19,67,.284,11,32,.344,4,4,1.000,10,33,13,10,3,20,17,,26,63,.413,8,18,.444,16,25,.640,15,47,14,10,7,19,12
7,7,2015-12-03,,Warren Wilson,W,96,45,33,70,.471,7,23,.304,23,32,.719,19,55,16,11,3,12,20,,13,50,.260,2,26,.077,17,26,.654,3,25,8,5,1,19,29
8,8,2015-12-05,@,Illinois,L,68,80,21,48,.438,11,24,.458,15,18,.833,2,20,12,8,2,17,20,,28,53,.528,7,18,.389,17,21,.810,8,28,14,7,1,15,18
9,9,2015-12-12,@,Davidson,L,54,87,17,64,.266,8,29,.276,12,23,.522,15,36,8,6,1,13,23,,29,61,.475,9,31,.290,20,28,.714,8,44,16,3,6,9,21
10,10,2015-12-14,,Eastern Washington,W,97,80,32,57,.561,9,20,.450,24,30,.800,11,32,18,10,1,11,22,,26,49,.531,13,27,.481,15,26,.577,5,22,8,5,1,17,25
11,11,2015-12-20,@,Morehead State,L,52,60,15,49,.306,4,15,.267,18,22,.818,9,32,6,7,5,17,22,,22,54,.407,2,10,.200,14,25,.560,13,39,13,9,3,14,22
12,12,2015-12-23,@,Pitt,L,73,79,28,67,.418,9,27,.333,8,12,.667,11,25,16,10,1,10,25,,24,48,.500,2,13,.154,29,33,.879,10,38,19,6,9,14,14
13,13,2015-12-30,,Mars Hill,W,82,62,29,73,.397,10,26,.385,14,19,.737,19,51,15,11,6,13,12,,21,63,.333,8,24,.333,12,15,.800,8,25,14,5,4,17,21
14,14,2016-01-02,,ETSU,L,66,82,19,59,.322,3,28,.107,25,29,.862,14,30,7,4,4,10,20,,29,55,.527,8,15,.533,16,26,.615,12,36,19,5,5,11,21
15,15,2016-01-09,,Virginia Military Institute,W,73,52,25,53,.472,8,26,.308,15,22,.682,8,37,9,9,7,13,17,,20,59,.339,4,16,.250,8,14,.571,12,32,6,6,3,13,20
16,16,2016-01-11,,North Carolina-Greensboro,W (1 OT),83,77,28,54,.519,14,25,.560,13,21,.619,6,29,20,7,2,15,21,,27,65,.415,12,30,.400,11,16,.688,14,36,17,4,3,15,21
17,17,2016-01-14,@,Chattanooga,L,58,77,21,55,.382,5,17,.294,11,16,.688,5,26,7,9,3,14,24,,24,49,.490,7,18,.389,22,31,.710,7,37,17,8,3,12,18
18,18,2016-01-16,@,Samford,L,68,84,26,57,.456,7,20,.350,9,13,.692,13,27,17,8,2,18,16,,31,59,.525,8,19,.421,14,18,.778,13,30,19,9,3,16,16
19,19,2016-01-21,,Citadel,L,91,92,33,67,.493,12,32,.375,13,27,.481,8,36,21,13,5,17,19,,30,69,.435,15,39,.385,17,21,.810,9,40,16,8,3,19,22
20,20,2016-01-24,,Mercer,W (2 OT),86,80,26,64,.406,12,26,.462,22,30,.733,7,37,15,7,6,14,19,,29,78,.372,9,25,.360,13,18,.722,17,48,16,8,2,16,24
