Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,Idaho,L,63,67,22,49,.449,2,11,.182,17,28,.607,7,27,10,6,3,10,24,,20,49,.408,7,19,.368,20,29,.690,8,32,10,5,0,12,22
2,2,2013-11-12,@,Nebraska,L,47,62,17,45,.378,4,19,.211,9,15,.600,4,28,7,5,2,14,18,,22,50,.440,5,13,.385,13,22,.591,7,29,6,7,1,8,16
3,3,2013-11-17,@,Pacific,L,52,66,16,43,.372,4,16,.250,16,21,.762,6,26,11,6,3,17,15,,24,53,.453,7,17,.412,11,11,1.000,7,29,17,9,3,11,21
4,4,2013-11-21,,Eureka,W,79,52,34,56,.607,5,10,.500,6,17,.353,10,35,22,10,6,15,12,,20,50,.400,4,14,.286,8,12,.667,4,18,8,10,3,14,17
5,5,2013-11-26,@,Southeastern Louisiana,L,52,62,21,52,.404,4,15,.267,6,15,.400,6,30,12,8,2,9,22,,22,50,.440,5,14,.357,13,25,.520,11,37,10,6,3,13,15
6,6,2013-11-30,,Greenville (IL),W,76,49,35,64,.547,2,8,.250,4,11,.364,10,29,20,16,8,9,10,,20,52,.385,1,12,.083,8,8,1.000,11,32,12,6,0,23,11
7,7,2013-12-04,,Eastern Illinois,W,60,32,25,57,.439,4,8,.500,6,11,.545,11,39,12,11,10,14,13,,12,50,.240,2,16,.125,6,9,.667,7,30,4,7,2,19,14
8,8,2013-12-07,,Grace Bible,W,77,43,31,60,.517,4,15,.267,11,16,.688,11,40,23,9,4,10,8,,16,55,.291,8,30,.267,3,9,.333,8,27,11,8,1,13,15
9,9,2013-12-16,@,Alabama State,L,52,59,22,56,.393,5,14,.357,3,4,.750,8,34,9,5,1,15,21,,19,48,.396,4,18,.222,17,28,.607,8,29,13,5,8,11,9
10,10,2013-12-19,@,Utah State,L,52,68,21,53,.396,3,15,.200,7,9,.778,7,17,11,11,4,10,23,,19,36,.528,5,7,.714,25,34,.735,10,33,15,4,9,19,16
11,11,2013-12-20,N,Troy,W,61,58,19,49,.388,3,12,.250,20,27,.741,9,31,11,6,1,10,22,,20,42,.476,7,16,.438,11,25,.440,5,28,14,6,5,14,19
12,12,2013-12-21,N,UCSB,L,55,61,20,48,.417,7,17,.412,8,19,.421,10,37,13,2,3,16,19,,19,53,.358,3,17,.176,20,28,.714,10,34,10,9,8,8,19
13,13,2013-12-28,@,UTEP,L,64,67,24,52,.462,5,16,.313,11,16,.688,4,26,16,5,2,15,27,,18,52,.346,2,11,.182,29,39,.744,13,36,9,2,2,15,17
14,14,2013-12-29,N,Alcorn State,W (1 OT),64,62,23,41,.561,5,13,.385,13,17,.765,3,19,16,3,1,16,18,,21,47,.447,4,15,.267,16,22,.727,7,22,10,8,0,17,19
15,15,2014-01-04,,William & Mary,L,67,78,24,48,.500,9,18,.500,10,17,.588,4,24,16,5,3,13,19,,24,49,.490,12,24,.500,18,23,.783,6,26,13,7,2,11,19
16,16,2014-01-11,,Nebraska-Omaha,W (1 OT),79,72,27,56,.482,3,11,.273,22,32,.688,8,41,13,5,0,21,16,,26,67,.388,5,23,.217,15,18,.833,6,30,11,12,2,14,24
17,17,2014-01-16,@,South Dakota State,L,55,64,18,43,.419,7,16,.438,12,18,.667,3,24,10,3,1,15,20,,19,46,.413,6,15,.400,20,22,.909,4,28,11,6,2,12,20
18,18,2014-01-18,@,North Dakota State,L,52,65,18,43,.419,4,10,.400,12,15,.800,3,21,11,2,1,8,13,,24,54,.444,3,12,.250,14,17,.824,12,35,11,4,6,6,15
