,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Wisconsin,W,69,67,27,50,.540,7,9,.778,8,12,.667,7,30,11,0,4,10,24,,22,62,.355,7,21,.333,16,25,.640,19,37,8,6,6,3,15
2,2,2015-11-15,,Hannibal-LaGrange,W,94,57,30,55,.545,13,25,.520,21,23,.913,8,41,20,11,5,13,17,,19,55,.345,6,23,.261,13,18,.722,3,22,11,5,0,13,20
3,3,2015-11-17,,UIC,W,84,57,30,62,.484,5,8,.625,19,31,.613,11,42,16,7,11,9,26,,15,59,.254,3,8,.375,24,39,.615,16,40,6,3,4,16,24
4,4,2015-11-21,@,Eastern Illinois,W,83,63,28,51,.549,9,16,.563,18,23,.783,5,34,16,7,2,12,22,,20,56,.357,9,21,.429,14,22,.636,10,28,14,4,1,10,22
5,5,2015-11-25,,Trinity Christian,W,79,44,29,54,.537,7,21,.333,14,17,.824,5,30,17,15,3,8,15,,16,50,.320,4,21,.190,8,12,.667,7,28,10,5,2,20,19
6,6,2015-11-28,@,Creighton,L,67,97,27,60,.450,10,22,.455,3,6,.500,5,25,12,2,4,9,23,,35,69,.507,10,24,.417,17,27,.630,17,44,16,3,4,4,16
7,7,2015-12-02,,Silver Lake,W,84,49,28,55,.509,9,18,.500,19,28,.679,6,37,19,8,3,11,16,,16,53,.302,5,19,.263,12,18,.667,4,30,5,4,0,19,23
8,8,2015-12-07,@,Iowa,L,56,90,23,66,.348,6,22,.273,4,7,.571,11,35,13,5,2,16,20,,33,66,.500,10,23,.435,14,19,.737,10,39,20,10,5,11,11
9,9,2015-12-12,,Eastern Illinois,W,64,57,20,61,.328,3,17,.176,21,30,.700,21,41,13,6,7,12,14,,22,58,.379,3,19,.158,10,13,.769,8,31,10,4,4,15,26
10,10,2015-12-19,@,Chicago State,L,70,77,26,65,.400,11,30,.367,7,9,.778,11,38,18,2,1,9,22,,23,49,.469,10,20,.500,21,29,.724,3,27,12,4,4,7,12
11,11,2015-12-21,@,Loyola (IL),L,67,72,24,60,.400,11,21,.524,8,9,.889,8,33,15,7,4,13,20,,23,46,.500,6,15,.400,20,27,.741,1,25,14,4,5,10,13
12,12,2016-01-01,@,Nebraska-Omaha,L,80,82,33,65,.508,7,19,.368,7,9,.778,7,31,20,9,2,19,26,,27,59,.458,4,15,.267,24,32,.750,8,30,12,13,3,17,14
13,13,2016-01-03,@,South Dakota State,L,59,63,22,53,.415,3,12,.250,12,13,.923,4,33,13,1,3,11,23,,20,60,.333,5,19,.263,18,26,.692,12,39,10,3,2,6,17
14,14,2016-01-09,,IUPUI,L,60,67,24,64,.375,3,19,.158,9,13,.692,6,29,13,6,3,8,18,,24,54,.444,6,12,.500,13,17,.765,6,38,10,6,2,9,16
15,15,2016-01-14,,Denver,L,69,76,24,57,.421,8,17,.471,13,16,.813,11,32,9,9,2,12,17,,27,50,.540,9,15,.600,13,17,.765,4,28,17,5,1,11,17
16,16,2016-01-16,,Oral Roberts,L,68,77,25,60,.417,8,22,.364,10,13,.769,5,30,11,3,1,12,22,,27,55,.491,4,10,.400,19,30,.633,8,35,9,7,2,10,16
17,17,2016-01-20,@,South Dakota,L,67,76,22,49,.449,6,20,.300,17,23,.739,6,27,14,6,5,16,20,,27,56,.482,9,18,.500,13,21,.619,11,34,16,12,4,13,21
18,18,2016-01-23,,North Dakota State,L,52,65,17,49,.347,3,12,.250,15,19,.789,4,32,7,3,4,11,19,,21,54,.389,4,13,.308,19,24,.792,6,37,7,6,4,4,19
19,19,2016-01-29,@,IUPUI,L,67,69,23,49,.469,6,12,.500,15,18,.833,8,32,6,9,3,18,20,,27,52,.519,4,8,.500,11,20,.550,6,25,9,10,2,14,16
20,20,2016-01-31,@,IPFW,L,67,88,25,61,.410,7,22,.318,10,18,.556,8,31,9,2,2,10,19,,33,59,.559,9,20,.450,13,20,.650,5,34,20,5,2,7,13
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-03,,Nebraska-Omaha,W,83,76,27,54,.500,6,17,.353,23,34,.676,7,37,14,7,2,8,19,,28,65,.431,11,25,.440,9,14,.643,10,36,16,5,2,11,27
22,22,2016-02-11,@,Denver,W,63,60,21,43,.488,3,10,.300,18,25,.720,6,30,12,5,3,17,19,,23,49,.469,6,19,.316,8,10,.800,1,20,13,8,2,12,21
23,23,2016-02-13,@,Oral Roberts,L,66,72,21,52,.404,8,16,.500,16,26,.615,10,34,13,3,3,14,21,,23,54,.426,3,10,.300,23,27,.852,4,30,8,6,8,10,16
24,24,2016-02-17,@,North Dakota State,L,54,63,18,42,.429,6,14,.429,12,17,.706,1,25,9,5,3,13,23,,20,47,.426,6,14,.429,17,24,.708,7,27,7,9,2,9,17
25,25,2016-02-20,,South Dakota State,L,67,87,22,59,.373,7,25,.280,16,26,.615,8,24,10,7,3,14,26,,24,55,.436,6,19,.316,33,37,.892,11,46,11,8,3,16,23
26,26,2016-02-25,,IPFW,L,75,87,28,61,.459,7,20,.350,12,17,.706,7,29,17,9,2,9,22,,26,54,.481,11,26,.423,24,28,.857,7,30,13,5,2,11,15
27,27,2016-02-27,,South Dakota,W,90,76,32,64,.500,11,24,.458,15,20,.750,10,40,14,9,2,14,22,,26,62,.419,6,18,.333,18,25,.720,9,32,14,10,0,12,19
