,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Campbellsville,W,97,77,39,80,.488,9,28,.321,10,13,.769,23,51,20,6,9,10,19,,25,64,.391,12,26,.462,15,21,.714,10,27,12,6,2,8,14
2,2,2015-11-18,@,Belmont,L,85,90,31,65,.477,10,24,.417,13,21,.619,15,40,11,4,4,15,26,,29,61,.475,11,29,.379,21,31,.677,9,33,21,8,1,13,16
3,3,2015-11-21,,Stony Brook,W,67,66,26,58,.448,9,14,.643,6,10,.600,6,32,14,2,7,10,16,,27,75,.360,5,23,.217,7,14,.500,22,49,14,5,3,9,14
4,4,2015-11-23,N,Drake,L (1 OT),79,81,32,66,.485,8,26,.308,7,11,.636,10,31,11,3,3,8,20,,27,57,.474,9,22,.409,18,20,.900,5,28,13,2,1,8,17
5,5,2015-11-24,N,Central Michigan,W,88,60,31,59,.525,10,20,.500,16,21,.762,8,44,21,3,4,10,16,,23,75,.307,10,41,.244,4,16,.250,15,34,14,4,5,6,15
6,6,2015-11-25,N,Duquesne,L,73,81,24,57,.421,8,23,.348,17,27,.630,6,36,14,1,3,12,18,,31,64,.484,11,29,.379,8,16,.500,7,36,17,8,0,8,22
7,7,2015-12-01,,Eastern Kentucky,W,86,84,31,57,.544,14,26,.538,10,14,.714,10,31,21,2,5,15,13,,32,63,.508,15,25,.600,5,7,.714,9,22,20,7,2,11,17
8,8,2015-12-05,@,Xavier,L,64,95,24,62,.387,5,22,.227,11,17,.647,7,27,10,6,4,12,25,,32,56,.571,7,16,.438,24,33,.727,9,37,21,5,4,9,15
9,9,2015-12-13,,Indiana State,W,75,62,23,50,.460,6,14,.429,23,27,.852,11,36,13,6,3,16,15,,26,55,.473,6,17,.353,4,9,.444,4,19,15,7,3,15,19
10,10,2015-12-16,,Alabama A&M,W,79,70,21,50,.420,8,20,.400,29,36,.806,11,38,11,2,7,8,17,,25,68,.368,11,28,.393,9,15,.600,17,35,14,5,2,7,26
11,11,2015-12-19,@,Louisville,L,56,78,22,53,.415,2,18,.111,10,20,.500,10,34,12,6,3,15,16,,30,65,.462,7,14,.500,11,18,.611,14,39,14,8,4,11,19
12,12,2015-12-22,,Detroit,W,79,74,26,53,.491,5,12,.417,22,29,.759,7,37,15,3,6,14,16,,27,62,.435,11,24,.458,9,12,.750,5,28,12,5,2,13,25
13,13,2015-12-28,,Brescia,W,93,66,34,61,.557,8,20,.400,17,30,.567,13,41,20,13,12,15,13,,26,65,.400,9,21,.429,5,8,.625,6,26,15,9,2,19,22
14,14,2016-01-03,@,Marshall,L,76,94,33,60,.550,2,19,.105,8,15,.533,6,36,10,4,6,19,14,,37,71,.521,11,30,.367,9,13,.692,7,27,25,15,1,11,12
15,15,2016-01-07,,Florida International,L,72,75,23,55,.418,9,25,.360,17,19,.895,10,29,12,2,4,11,18,,26,52,.500,6,16,.375,17,18,.944,4,19,13,2,3,9,17
16,16,2016-01-09,,Florida Atlantic,W (1 OT),86,82,33,64,.516,5,10,.500,15,27,.556,6,33,11,7,5,5,23,,27,63,.429,7,19,.368,21,29,.724,13,40,10,2,5,8,25
17,17,2016-01-14,@,Rice,L,73,83,28,68,.412,7,22,.318,10,14,.714,18,40,14,4,1,17,26,,25,50,.500,9,23,.391,24,32,.750,6,25,14,5,2,12,14
18,18,2016-01-16,@,North Texas,W,81,76,26,58,.448,7,15,.467,22,30,.733,12,32,11,6,2,13,23,,27,56,.482,7,21,.333,15,26,.577,10,27,8,4,7,13,25
19,19,2016-01-21,@,Old Dominion,L,62,68,21,57,.368,4,18,.222,16,21,.762,12,29,10,5,0,10,15,,27,53,.509,6,11,.545,8,11,.727,9,32,18,7,4,11,16
20,20,2016-01-23,@,Charlotte,L,71,88,27,60,.450,3,12,.250,14,15,.933,11,31,11,4,1,13,14,,34,62,.548,10,23,.435,10,13,.769,8,25,17,7,3,8,14
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-28,,Alabama-Birmingham,W,69,62,24,50,.480,7,15,.467,14,25,.560,11,37,14,5,3,16,12,,25,63,.397,5,20,.250,7,8,.875,11,30,14,8,5,16,22
22,22,2016-01-30,,Middle Tennessee,L,64,66,20,54,.370,6,17,.353,18,27,.667,13,45,9,5,5,14,18,,23,60,.383,7,21,.333,13,21,.619,8,31,11,6,2,9,24
23,23,2016-02-04,@,UTSA,W,83,71,26,51,.510,7,19,.368,24,29,.828,6,39,12,4,3,18,21,,23,59,.390,7,21,.333,18,24,.750,5,21,11,9,3,9,20
24,24,2016-02-06,@,UTEP,L (1 OT),89,93,30,62,.484,7,21,.333,22,37,.595,15,45,17,6,7,19,27,,33,77,.429,5,21,.238,22,32,.688,15,35,16,9,2,11,26
25,25,2016-02-13,,Marshall,L (1 OT),93,96,35,77,.455,2,18,.111,21,33,.636,14,37,16,10,2,12,20,,37,71,.521,13,32,.406,9,13,.692,7,35,20,5,3,17,22
26,26,2016-02-18,,Old Dominion,L,56,59,19,49,.388,5,15,.333,13,22,.591,9,32,8,2,5,13,13,,27,64,.422,1,8,.125,4,4,1.000,11,35,9,7,8,8,20
27,27,2016-02-20,,Charlotte,W,59,54,16,53,.302,6,20,.300,21,26,.808,11,31,7,6,2,14,16,,21,41,.512,6,12,.500,6,12,.500,3,30,11,7,0,22,21
28,28,2016-02-25,@,Middle Tennessee,W,78,72,29,56,.518,8,15,.533,12,17,.706,13,38,13,2,1,9,14,,27,58,.466,10,23,.435,8,18,.444,7,26,11,4,2,9,17
29,29,2016-02-27,@,Alabama-Birmingham,L,67,71,24,51,.471,6,13,.462,13,16,.813,8,30,13,5,3,17,14,,28,56,.500,7,16,.438,8,13,.615,5,22,21,8,5,13,16
30,30,2016-03-03,,Southern Miss,W,75,60,27,52,.519,11,24,.458,10,13,.769,10,31,17,4,0,10,13,,22,48,.458,10,25,.400,6,10,.600,4,19,9,5,2,7,13
31,31,2016-03-05,,Louisiana Tech,W (1 OT),96,90,35,62,.565,5,16,.313,21,29,.724,7,37,19,7,6,14,24,,30,64,.469,9,23,.391,21,32,.656,8,30,11,8,4,11,26
32,32,2016-03-09,N,North Texas,W,84,76,29,49,.592,7,17,.412,19,26,.731,9,40,21,1,9,13,17,,30,66,.455,6,20,.300,10,21,.476,10,23,13,10,1,2,22
33,33,2016-03-10,N,Alabama-Birmingham,W,88,77,29,56,.518,7,21,.333,23,33,.697,12,42,13,3,2,14,18,,29,73,.397,7,32,.219,12,20,.600,13,26,11,8,2,5,25
