,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,DePaul,L,63,69,20,54,.370,6,28,.214,17,23,.739,7,28,9,3,0,11,32,,21,46,.457,2,15,.133,25,36,.694,6,29,10,3,5,10,21
2,2,2015-11-17,,San Diego,W,74,62,22,50,.440,5,15,.333,25,38,.658,15,43,13,5,3,10,16,,24,58,.414,9,28,.321,5,10,.500,8,25,15,6,1,11,27
3,3,2015-11-21,@,North Carolina-Wilmington,L,76,80,27,53,.509,2,8,.250,20,31,.645,9,40,9,6,2,18,21,,26,67,.388,10,36,.278,18,25,.720,11,32,16,8,2,12,24
4,4,2015-11-23,,Rochester (MI),W,85,73,27,53,.509,13,29,.448,18,24,.750,7,31,17,6,3,10,17,,25,55,.455,10,24,.417,13,18,.722,8,31,12,4,4,14,24
5,5,2015-11-26,N,Stephen F. Austin,L,71,79,26,59,.441,8,15,.533,11,15,.733,9,35,10,3,4,21,25,,22,62,.355,9,27,.333,26,28,.929,12,36,14,13,4,12,24
6,6,2015-11-27,N,Liberty,W,68,58,26,51,.510,4,12,.333,12,16,.750,11,32,14,5,1,15,17,,18,43,.419,12,31,.387,10,12,.833,4,17,14,5,5,14,20
7,7,2015-11-29,N,Mercer,L,65,68,22,54,.407,9,17,.529,12,24,.500,8,27,13,13,5,8,18,,24,46,.522,6,14,.429,14,22,.636,6,35,17,4,1,16,17
8,8,2015-12-03,@,James Madison,L,57,63,20,60,.333,9,21,.429,8,9,.889,8,36,11,3,1,13,19,,20,56,.357,8,28,.286,15,22,.682,7,38,7,2,3,10,13
9,9,2015-12-07,,Northeastern,W (1 OT),87,86,33,61,.541,9,18,.500,12,21,.571,5,32,10,5,1,15,16,,31,68,.456,11,29,.379,13,16,.813,5,27,17,6,4,11,19
10,10,2015-12-12,,Marygrove,W,101,59,35,65,.538,9,21,.429,22,34,.647,12,49,21,13,1,14,16,,21,71,.296,5,30,.167,12,18,.667,11,30,9,10,4,15,24
11,11,2015-12-22,,IPFW,L (1 OT),86,89,27,65,.415,8,26,.308,24,31,.774,10,34,17,7,3,9,19,,30,62,.484,13,26,.500,16,26,.615,9,38,18,7,2,13,25
12,12,2015-12-30,@,Vanderbilt,L,61,86,20,54,.370,2,18,.111,19,24,.792,10,32,8,2,0,14,21,,29,56,.518,11,30,.367,17,23,.739,6,29,22,7,3,8,19
