,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Hampton,L,69,77,21,50,.420,6,20,.300,21,29,.724,6,28,14,9,0,14,19,,26,51,.510,6,12,.500,19,28,.679,7,35,17,10,6,14,19
2,2,2013-11-12,,Liberty,W,84,72,32,53,.604,6,19,.316,14,22,.636,9,29,18,7,6,11,12,,28,60,.467,8,20,.400,8,10,.800,9,25,16,7,3,14,20
3,3,2013-11-14,@,Wichita State,L,62,79,23,48,.479,5,16,.313,11,22,.500,4,25,14,5,3,14,24,,27,56,.482,7,20,.350,18,26,.692,9,33,12,8,3,8,18
4,4,2013-11-20,,High Point,L,69,80,24,59,.407,10,29,.345,11,19,.579,10,28,16,6,2,13,16,,32,62,.516,6,17,.353,10,14,.714,11,38,16,10,5,13,18
5,5,2013-11-23,@,Rutgers,W,72,62,23,50,.460,5,17,.294,21,32,.656,8,32,10,6,3,15,18,,22,54,.407,10,19,.526,8,12,.667,5,30,10,7,7,14,21
6,6,2013-11-27,,Virginia Military Institute,W,97,67,34,74,.459,12,27,.444,17,21,.810,13,49,20,9,6,6,17,,25,67,.373,6,25,.240,11,19,.579,9,35,9,5,7,13,14
7,7,2013-11-30,@,Howard,W (1 OT),84,79,26,50,.520,11,24,.458,21,28,.750,7,21,17,4,3,14,18,,27,49,.551,4,11,.364,21,23,.913,5,24,14,4,3,18,22
8,8,2013-12-04,,Richmond,L,60,71,17,41,.415,10,22,.455,16,21,.762,8,25,6,4,3,18,16,,25,50,.500,7,18,.389,14,19,.737,6,24,9,12,3,7,18
9,9,2013-12-07,@,Wofford,W,63,60,23,41,.561,4,12,.333,13,22,.591,4,25,6,7,1,14,18,,21,55,.382,4,13,.308,14,18,.778,14,34,8,8,1,11,21
