Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,North Carolina State,W,85,68,31,60,.517,9,22,.409,14,19,.737,8,38,16,9,2,14,17,,27,71,.380,6,22,.273,8,14,.571,13,33,15,8,5,10,17
2,2,2015-11-17,@,Liberty,W,70,59,25,45,.556,2,9,.222,18,28,.643,7,38,15,3,1,11,16,,23,53,.434,6,28,.214,7,12,.583,3,20,8,6,1,5,22
3,3,2015-11-19,,Washington Adventist,W,85,60,32,69,.464,7,22,.318,14,21,.667,9,40,20,13,10,11,16,,22,63,.349,3,15,.200,13,19,.684,9,39,9,7,10,17,17
4,4,2015-11-21,@,Dayton,L,66,69,23,55,.418,10,22,.455,10,19,.526,5,25,16,5,2,11,15,,25,53,.472,6,20,.300,13,18,.722,10,37,15,7,4,16,19
5,5,2015-11-25,,Hampton,W,86,67,27,57,.474,10,22,.455,22,29,.759,7,40,16,5,13,9,22,,23,69,.333,7,26,.269,14,24,.583,14,36,12,5,5,5,24
6,6,2015-11-28,@,Howard,L,77,79,28,58,.483,12,24,.500,9,14,.643,10,35,17,1,6,11,24,,25,63,.397,6,17,.353,23,30,.767,14,33,6,5,2,6,16
7,7,2015-12-01,,Old Dominion,W,55,48,21,55,.382,0,15,.000,13,18,.722,6,36,7,6,5,7,12,,21,58,.362,2,18,.111,4,9,.444,8,37,7,4,4,13,24
8,8,2015-12-05,@,Virginia,L,52,67,19,46,.413,6,18,.333,8,13,.615,4,29,8,4,2,19,16,,26,59,.441,2,12,.167,13,17,.765,8,32,10,15,5,5,12
9,9,2015-12-18,,Mary Washington,W,94,64,34,66,.515,10,21,.476,16,22,.727,5,42,21,3,6,5,10,,23,71,.324,12,40,.300,6,6,1.000,5,32,14,1,4,8,22
10,10,2015-12-21,,High Point,W (1 OT),78,75,28,66,.424,10,29,.345,12,18,.667,13,37,16,9,7,15,15,,26,61,.426,7,17,.412,16,19,.842,8,31,16,9,1,15,20
11,11,2015-12-29,,Central Michigan,W,88,84,29,59,.492,8,22,.364,22,30,.733,9,38,17,2,6,7,16,,29,66,.439,12,37,.324,14,17,.824,9,32,14,6,3,5,25
12,12,2015-12-31,,Towson,L,69,76,25,56,.446,5,23,.217,14,15,.933,5,27,19,6,4,16,22,,26,61,.426,2,12,.167,22,27,.815,12,36,11,11,4,12,21
13,13,2016-01-02,,College of Charleston,W,78,70,26,45,.578,8,19,.421,18,26,.692,5,29,13,7,9,9,10,,28,64,.438,8,26,.308,6,11,.545,10,29,10,7,2,11,22
14,14,2016-01-07,@,Drexel,W,72,63,26,49,.531,7,19,.368,13,15,.867,5,27,15,8,1,11,15,,26,48,.542,4,18,.222,7,12,.583,2,20,12,5,4,11,19
15,15,2016-01-09,,Northeastern,W,78,60,33,57,.579,9,18,.500,3,7,.429,5,39,21,7,13,12,20,,21,63,.333,5,22,.227,13,20,.650,10,31,10,7,3,8,12
16,16,2016-01-14,@,College of Charleston,W,63,61,20,42,.476,5,13,.385,18,28,.643,3,30,9,4,1,12,20,,19,60,.317,8,25,.320,15,21,.714,12,34,11,7,1,8,26
17,17,2016-01-16,@,North Carolina-Wilmington,L (1 OT),94,97,34,69,.493,8,22,.364,18,24,.750,7,31,20,7,3,9,17,,33,61,.541,13,27,.481,18,25,.720,7,34,14,5,7,16,21
18,18,2016-01-21,,Elon,W,89,67,36,65,.554,14,28,.500,3,5,.600,8,37,27,4,7,9,12,,25,59,.424,10,29,.345,7,10,.700,5,26,15,6,4,7,9
19,19,2016-01-24,@,Hofstra,L,63,91,22,51,.431,8,21,.381,11,21,.524,7,32,14,1,1,15,16,,34,71,.479,15,37,.405,8,12,.667,11,39,18,8,3,5,18
