Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Hampton,W,102,95,31,59,.525,13,27,.481,27,36,.750,5,31,11,4,7,16,22,,35,79,.443,10,27,.370,15,25,.600,19,46,11,8,4,17,29
2,2,2015-11-17,,Truett-McConnell,W,106,78,33,67,.493,12,28,.429,28,39,.718,20,45,14,5,7,8,23,,24,55,.436,11,22,.500,19,27,.704,4,23,12,2,2,11,29
3,3,2015-11-20,,Jacksonville State,W,80,69,30,63,.476,6,20,.300,14,22,.636,11,38,8,4,6,14,17,,25,65,.385,7,23,.304,12,18,.667,10,29,9,6,3,11,19
4,4,2015-11-24,@,South Carolina Upstate,W,79,78,24,58,.414,6,24,.250,25,31,.806,12,41,11,7,5,12,22,,25,62,.403,9,17,.529,19,27,.704,10,32,15,4,2,12,24
5,5,2015-11-27,@,North Carolina State,L,79,87,24,61,.393,12,28,.429,19,23,.826,10,32,11,5,4,11,27,,29,62,.468,4,12,.333,25,34,.735,10,34,15,4,6,9,21
6,6,2015-12-02,@,Charleston Southern,W,83,82,28,56,.500,6,19,.316,21,28,.750,6,38,12,1,8,11,17,,29,78,.372,14,40,.350,10,10,1.000,9,29,14,7,3,3,24
7,7,2015-12-05,,Presbyterian,W,74,70,21,46,.457,4,17,.235,28,41,.683,8,31,10,3,5,14,23,,23,53,.434,4,12,.333,20,27,.741,4,25,4,6,1,11,30
8,8,2015-12-08,@,Georgia,L,64,74,21,60,.350,8,23,.348,14,16,.875,7,31,10,6,5,12,26,,21,56,.375,3,15,.200,29,36,.806,12,41,17,6,7,12,16
9,9,2015-12-16,@,Alabama,L,60,72,21,56,.375,5,26,.192,13,17,.765,8,29,6,4,3,11,20,,28,54,.519,5,15,.333,11,17,.647,10,39,12,3,2,13,17
10,10,2015-12-19,@,Georgia Southern,W,88,81,28,62,.452,12,27,.444,20,21,.952,7,32,9,3,5,11,19,,26,72,.361,11,32,.344,18,27,.667,17,44,12,7,2,11,16
