Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Missouri,L,74,83,21,55,.382,10,27,.370,22,33,.667,6,25,12,3,0,7,24,,28,50,.560,5,12,.417,22,32,.688,5,33,12,4,1,9,24
2,2,2015-11-18,@,UNC,L,58,78,23,57,.404,9,24,.375,3,5,.600,5,22,9,4,0,13,17,,32,62,.516,1,9,.111,13,19,.684,11,41,13,11,6,12,13
3,3,2015-11-21,,Maryland-Eastern Shore,W,73,63,24,53,.453,6,19,.316,19,24,.792,12,36,13,5,4,9,17,,21,45,.467,8,15,.533,13,22,.591,4,22,7,4,2,13,24
4,4,2015-11-24,@,Columbia,L,59,70,24,50,.480,6,12,.500,5,11,.455,5,23,12,2,1,13,16,,25,48,.521,7,17,.412,13,17,.765,7,30,15,5,2,12,14
5,5,2015-11-28,@,Presbyterian,W,68,58,18,47,.383,6,14,.429,26,34,.765,8,34,9,8,2,13,14,,23,54,.426,2,16,.125,10,12,.833,4,25,8,6,2,14,22
6,6,2015-12-01,@,Georgia Tech,L,61,77,23,55,.418,3,17,.176,12,12,1.000,5,19,13,4,2,8,26,,24,53,.453,8,18,.444,21,29,.724,13,38,14,3,5,8,16
7,7,2015-12-03,,Kentucky Christian,W,86,66,34,62,.548,6,25,.240,12,15,.800,9,31,22,5,3,6,11,,27,54,.500,7,16,.438,5,8,.625,4,21,12,1,0,11,13
8,8,2015-12-06,@,Clemson,L,51,66,16,49,.327,7,17,.412,12,14,.857,5,32,12,3,2,13,22,,21,50,.420,8,16,.500,16,26,.615,6,33,15,3,6,9,19
9,9,2015-12-14,,Coastal Carolina,L,63,71,19,50,.380,6,20,.300,19,29,.655,5,23,11,7,3,5,21,,24,41,.585,7,11,.636,16,25,.640,5,33,11,1,2,16,24
10,10,2015-12-19,@,Vanderbilt,L,56,80,21,61,.344,8,21,.381,6,9,.667,5,29,9,6,2,6,23,,25,50,.500,10,17,.588,20,27,.741,6,40,14,1,5,11,15
11,11,2015-12-22,@,Austin Peay,L,77,84,28,57,.491,10,24,.417,11,16,.688,4,19,14,9,0,13,26,,26,43,.605,4,7,.571,28,37,.757,6,31,7,7,4,18,18
12,12,2015-12-31,@,Harvard,L,57,77,23,57,.404,2,15,.133,9,12,.750,10,26,16,8,1,11,20,,30,47,.638,8,14,.571,9,18,.500,8,29,22,6,7,12,17
13,13,2016-01-02,,North Carolina-Greensboro,W,87,76,26,52,.500,11,23,.478,24,26,.923,7,31,17,3,1,12,16,,32,61,.525,5,17,.294,7,16,.438,10,27,12,8,1,9,23
14,14,2016-01-05,@,Virginia Military Institute,W,65,61,20,48,.417,6,20,.300,19,21,.905,6,30,8,6,0,13,17,,20,49,.408,8,18,.444,13,18,.722,5,24,13,8,5,14,15
15,15,2016-01-09,,Samford,W,69,64,22,42,.524,10,15,.667,15,20,.750,5,28,17,7,2,18,17,,27,56,.482,4,12,.333,6,11,.545,4,19,15,11,1,12,16
16,16,2016-01-11,,Chattanooga,L,68,77,26,57,.456,13,29,.448,3,5,.600,9,29,19,3,0,13,18,,27,55,.491,4,15,.267,19,25,.760,9,33,13,9,2,6,11
17,17,2016-01-14,@,Citadel,W,86,83,27,53,.509,8,18,.444,24,33,.727,10,34,17,3,3,19,26,,24,56,.429,8,26,.308,27,34,.794,6,19,12,5,2,12,30
18,18,2016-01-16,@,Mercer,L (1 OT),69,70,23,57,.404,12,29,.414,11,18,.611,6,25,17,4,2,7,11,,30,57,.526,7,19,.368,3,5,.600,7,34,19,3,2,14,17
19,19,2016-01-19,,Tennessee Wesleyan,W,89,66,34,62,.548,13,23,.565,8,15,.533,9,38,22,3,5,11,14,,26,60,.433,5,20,.250,9,16,.563,7,27,12,7,2,11,17
20,20,2016-01-23,@,Furman,L,62,63,21,50,.420,8,19,.421,12,15,.800,7,28,12,4,1,12,23,,22,49,.449,4,15,.267,15,26,.577,9,27,3,4,6,10,16
21,21,2016-01-28,,ETSU,W,87,73,27,56,.482,9,21,.429,24,29,.828,10,35,13,5,3,10,18,,26,65,.400,3,17,.176,18,26,.692,12,34,7,7,0,8,21
22,22,2016-01-30,,Western Carolina,W,85,66,19,45,.422,10,21,.476,37,49,.755,12,40,16,7,4,15,23,,23,53,.434,2,10,.200,18,27,.667,7,21,9,8,2,14,32
23,23,2016-02-04,@,Chattanooga,L,63,79,22,59,.373,8,20,.400,11,13,.846,10,26,14,9,0,9,19,,28,48,.583,4,14,.286,19,23,.826,4,29,12,4,7,14,16
24,24,2016-02-06,@,Samford,W,78,75,24,54,.444,10,18,.556,20,27,.741,7,29,16,6,1,10,20,,27,54,.500,4,15,.267,17,22,.773,5,26,15,3,2,9,19
25,25,2016-02-08,,Virginia Military Institute,W,92,60,32,52,.615,17,21,.810,11,13,.846,4,28,27,9,2,13,12,,22,53,.415,7,25,.280,9,13,.692,6,22,10,8,3,15,13
26,26,2016-02-11,,Mercer,W,79,70,29,52,.558,9,19,.474,12,15,.800,7,30,14,3,2,10,18,,26,60,.433,5,15,.333,13,18,.722,11,30,13,8,0,7,17
