,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,South Dakota,W,77,69,24,57,.421,10,24,.417,19,25,.760,4,31,15,7,3,9,20,,23,56,.411,8,24,.333,15,23,.652,8,39,14,2,4,15,23
2,2,2015-11-14,N,Cal State Northridge,L,67,72,25,55,.455,12,22,.545,5,9,.556,4,23,13,6,1,13,28,,22,44,.500,3,7,.429,25,33,.758,2,26,13,8,3,12,12
3,3,2015-11-15,@,Northern Illinois,L,59,65,21,50,.420,10,22,.455,7,9,.778,5,23,12,2,1,12,24,,20,44,.455,5,16,.313,20,32,.625,10,31,7,7,4,11,15
4,4,2015-11-20,@,Kentucky,L,63,78,21,58,.362,6,14,.429,15,17,.882,8,26,8,5,1,12,33,,25,47,.532,2,10,.200,26,37,.703,6,34,9,5,1,12,17
5,5,2015-11-24,,Mt. St. Joseph,W,66,52,25,56,.446,2,12,.167,14,17,.824,12,40,16,4,3,13,24,,13,45,.289,5,18,.278,21,25,.840,5,26,7,5,1,12,17
6,6,2015-11-28,@,George Mason,L,39,66,12,52,.231,7,20,.350,8,13,.615,3,28,7,0,1,9,15,,24,52,.462,8,22,.364,10,15,.667,4,41,14,4,4,11,16
7,7,2015-12-01,,Albion,W,68,50,29,56,.518,4,14,.286,6,9,.667,12,35,15,5,7,13,17,,16,51,.314,7,22,.318,11,13,.846,10,25,10,7,0,15,16
8,8,2015-12-04,,Georgia State,L,46,59,16,49,.327,9,21,.429,5,6,.833,4,25,10,7,1,17,18,,22,42,.524,2,8,.250,13,15,.867,1,25,10,7,6,14,12
9,9,2015-12-08,@,Xavier,L,55,90,23,63,.365,5,27,.185,4,8,.500,3,26,13,5,2,14,25,,26,64,.406,10,23,.435,28,34,.824,17,53,20,7,7,13,13
10,10,2015-12-13,@,Miami (OH),L,67,72,24,59,.407,10,25,.400,9,16,.563,10,28,16,6,0,11,25,,22,51,.431,5,18,.278,23,28,.821,10,38,11,6,5,14,16
11,11,2015-12-17,,Charleston Southern,W,71,65,21,47,.447,5,18,.278,24,37,.649,6,31,9,4,3,16,18,,23,52,.442,5,22,.227,14,21,.667,5,28,12,3,1,16,28
12,12,2015-12-20,,Bowling Green State,W,83,47,26,50,.520,13,28,.464,18,23,.783,5,34,19,4,2,13,23,,14,51,.275,2,13,.154,17,25,.680,8,29,6,5,2,14,21
13,13,2015-12-22,,Murray State,W,65,49,23,49,.469,5,16,.313,14,16,.875,5,29,13,7,1,13,18,,19,46,.413,4,21,.190,7,18,.389,9,26,10,3,2,15,19
14,14,2016-01-02,@,Milwaukee,W (1 OT),84,82,30,58,.517,9,20,.450,15,22,.682,8,37,14,3,0,13,29,,24,56,.429,9,26,.346,25,35,.714,9,30,16,3,1,9,20
15,15,2016-01-04,@,Green Bay,L,68,76,28,60,.467,6,21,.286,6,10,.600,3,29,16,3,2,11,27,,22,54,.407,9,20,.450,23,37,.622,10,38,8,6,3,8,15
16,16,2016-01-09,@,Northern Kentucky,W,60,46,24,54,.444,4,13,.308,8,11,.727,7,31,12,8,2,7,21,,17,41,.415,4,13,.308,8,17,.471,4,29,7,5,2,13,15
17,17,2016-01-14,,Cleveland State,W,70,53,25,53,.472,10,25,.400,10,12,.833,3,23,16,4,0,7,15,,22,47,.468,3,14,.214,6,10,.600,1,24,9,4,1,15,13
18,18,2016-01-16,,Youngstown State,W,81,45,31,63,.492,7,26,.269,12,18,.667,6,34,18,10,1,5,20,,15,52,.288,4,16,.250,11,17,.647,8,35,3,3,1,18,15
19,19,2016-01-18,,Detroit,W,77,76,23,56,.411,7,21,.333,24,35,.686,9,32,13,8,0,14,24,,25,50,.500,9,23,.391,17,26,.654,4,27,15,6,4,15,26
20,20,2016-01-22,,Valparaiso,W,73,62,22,49,.449,8,17,.471,21,29,.724,3,29,10,4,1,11,17,,22,61,.361,10,28,.357,8,11,.727,14,42,9,6,1,16,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-24,,UIC,W,80,66,29,54,.537,9,21,.429,13,20,.650,2,25,14,10,2,11,26,,22,53,.415,2,12,.167,20,35,.571,12,36,6,4,1,15,20
22,22,2016-01-29,@,Oakland,L,63,89,22,48,.458,9,22,.409,10,19,.526,1,20,13,4,1,14,25,,30,55,.545,8,21,.381,21,26,.808,9,36,17,10,3,9,19
23,23,2016-01-31,@,Detroit,L,68,75,28,51,.549,5,17,.294,7,10,.700,3,20,13,3,5,13,28,,20,42,.476,7,16,.438,28,37,.757,7,27,12,9,4,14,14
24,24,2016-02-04,,Milwaukee,W,84,83,28,50,.560,11,19,.579,17,24,.708,3,25,18,2,1,10,28,,24,45,.533,9,18,.500,26,34,.765,4,25,16,4,2,11,22
25,25,2016-02-06,,Green Bay,W,79,60,33,63,.524,9,24,.375,4,7,.571,6,36,20,8,3,11,18,,22,58,.379,5,20,.250,11,18,.611,10,35,7,4,4,18,16
26,26,2016-02-11,@,UIC,L,59,64,21,65,.323,6,26,.231,11,17,.647,10,30,14,11,3,7,22,,22,45,.489,5,10,.500,15,24,.625,8,40,13,3,10,21,17
27,27,2016-02-13,@,Valparaiso,W,61,59,22,45,.489,6,11,.545,11,16,.688,4,23,9,4,1,14,21,,20,48,.417,7,26,.269,12,18,.667,7,27,16,7,4,15,17
28,28,2016-02-15,,Oakland,L,73,89,23,57,.404,6,16,.375,21,27,.778,6,28,12,2,2,11,17,,28,61,.459,11,19,.579,22,23,.957,6,38,17,6,3,9,18
29,29,2016-02-20,,Northern Kentucky,W,67,64,23,50,.460,5,16,.313,16,24,.667,10,32,10,5,2,12,26,,17,42,.405,8,22,.364,22,31,.710,4,23,11,4,0,16,24
30,30,2016-02-25,@,Youngstown State,W,87,81,33,54,.611,3,12,.250,18,29,.621,4,27,22,6,5,9,15,,30,59,.508,9,18,.500,12,13,.923,5,26,13,4,3,16,20
31,31,2016-02-27,@,Cleveland State,W,55,51,17,46,.370,6,17,.353,15,26,.577,0,24,12,8,5,7,19,,14,46,.304,7,19,.368,16,22,.727,9,42,6,3,0,18,19
32,32,2016-03-05,N,UIC,W,74,43,29,68,.426,14,28,.500,2,6,.333,8,39,20,12,5,9,22,,12,53,.226,2,19,.105,17,21,.810,8,39,5,4,7,20,14
