,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Miami (OH),W,81,72,24,58,.414,7,21,.333,26,34,.765,16,40,15,9,1,15,24,,22,49,.449,9,20,.450,19,25,.760,5,22,12,6,2,17,28
2,2,2015-11-17,,Missouri,W,78,66,24,56,.429,6,18,.333,24,29,.828,12,37,13,9,4,13,18,,23,55,.418,6,23,.261,14,18,.778,7,26,8,8,2,17,26
3,3,2015-11-20,@,Michigan,W,86,70,27,66,.409,9,21,.429,23,26,.885,18,42,13,3,2,9,25,,21,52,.404,10,26,.385,18,26,.692,5,26,8,7,2,11,23
4,4,2015-11-23,,Northern Kentucky,W,78,66,23,59,.390,6,20,.300,26,34,.765,8,41,16,6,3,10,18,,22,57,.386,9,22,.409,13,19,.684,5,32,15,4,6,11,27
5,5,2015-11-26,N,Alabama,W,64,45,21,54,.389,7,23,.304,15,25,.600,10,39,17,8,3,18,18,,17,55,.309,5,28,.179,6,10,.600,8,31,6,5,7,18,20
6,6,2015-11-27,N,USC,W,87,77,29,62,.468,7,22,.318,22,29,.759,11,38,15,6,4,12,19,,29,63,.460,9,20,.450,10,13,.769,6,26,11,7,2,12,26
7,7,2015-11-29,N,Dayton,W,90,61,33,63,.524,8,19,.421,16,28,.571,7,38,16,9,4,13,27,,18,44,.409,4,16,.250,21,32,.656,3,23,9,7,2,22,28
8,8,2015-12-05,,Western Kentucky,W,95,64,32,56,.571,7,16,.438,24,33,.727,9,37,21,5,4,9,15,,24,62,.387,5,22,.227,11,17,.647,7,27,10,6,4,12,25
9,9,2015-12-08,,Wright State,W,90,55,26,64,.406,10,23,.435,28,34,.824,17,53,20,7,7,13,13,,23,63,.365,5,27,.185,4,8,.500,3,26,13,5,2,14,25
10,10,2015-12-12,,Cincinnati,W,65,55,27,56,.482,6,15,.400,5,12,.417,7,29,14,8,3,8,13,,21,52,.404,7,26,.269,6,11,.545,11,29,17,6,5,15,13
11,11,2015-12-19,,Auburn,W,85,61,29,58,.500,9,22,.409,18,24,.750,13,40,20,10,4,9,23,,21,52,.404,7,20,.350,12,19,.632,5,23,9,3,4,13,23
12,12,2015-12-22,@,Wake Forest,W,78,70,26,61,.426,6,21,.286,20,28,.714,11,38,9,9,0,17,22,,20,58,.345,7,26,.269,23,27,.852,11,35,13,9,5,17,26
13,13,2015-12-31,@,Villanova,L,64,95,20,51,.392,6,19,.316,18,26,.692,12,26,13,3,2,19,18,,36,57,.632,13,25,.520,10,11,.909,4,24,25,9,3,9,22
14,14,2016-01-02,,Butler,W,88,69,31,55,.564,10,21,.476,16,22,.727,10,35,18,6,10,14,21,,24,62,.387,7,15,.467,14,20,.700,13,29,14,8,3,12,21
15,15,2016-01-06,@,St. John's (NY),W,74,66,24,50,.480,4,14,.286,22,29,.759,6,36,12,10,2,17,18,,23,68,.338,7,29,.241,13,18,.722,10,32,12,4,4,13,24
16,16,2016-01-12,,DePaul,W,84,64,26,59,.441,12,26,.462,20,25,.800,10,38,21,9,3,9,19,,23,58,.397,11,27,.407,7,13,.538,8,33,14,3,3,14,23
17,17,2016-01-16,@,Marquette,W,74,66,25,59,.424,5,22,.227,19,26,.731,12,48,15,6,2,15,20,,24,70,.343,4,25,.160,14,21,.667,12,34,18,7,1,9,24
18,18,2016-01-19,,Georgetown,L,72,81,24,68,.353,10,28,.357,14,17,.824,11,32,17,6,1,5,21,,26,51,.510,10,25,.400,19,24,.792,7,37,21,3,7,11,19
19,19,2016-01-23,,Seton Hall,W,84,76,30,66,.455,6,20,.300,18,22,.818,13,39,21,11,7,12,19,,30,71,.423,6,27,.222,10,19,.526,17,39,15,5,4,13,23
20,20,2016-01-26,@,Providence,W,75,68,30,59,.508,7,21,.333,8,14,.571,10,39,13,7,4,19,21,,22,70,.314,7,34,.206,17,21,.810,18,36,16,8,2,14,17
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,@,DePaul,W,86,65,28,58,.483,5,17,.294,25,31,.806,13,35,19,5,1,12,23,,24,52,.462,3,12,.250,14,22,.636,6,25,10,6,2,15,26
22,22,2016-02-03,,St. John's (NY),W,90,83,28,61,.459,7,21,.333,27,40,.675,12,45,19,8,4,15,19,,32,70,.457,6,20,.300,13,21,.619,8,30,13,6,5,14,29
23,23,2016-02-06,,Marquette,W,90,82,31,61,.508,13,20,.650,15,24,.625,7,23,24,4,3,9,22,,29,53,.547,9,17,.529,15,21,.714,9,35,16,6,6,19,24
