Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Kent State,L,70,79,24,60,.400,9,29,.310,13,22,.591,5,27,22,8,3,13,25,,28,65,.431,6,18,.333,17,28,.607,16,51,14,6,3,16,17
2,2,2015-11-18,,Toledo,L,78,100,27,69,.391,9,25,.360,15,21,.714,9,32,13,5,2,12,21,,36,64,.563,10,24,.417,18,23,.783,4,35,19,3,4,10,17
3,3,2015-11-21,@,Florida Gulf Coast,L (3 OT),101,104,32,84,.381,10,33,.303,27,35,.771,15,47,13,10,2,24,31,,35,88,.398,8,32,.250,26,42,.619,23,57,21,13,2,19,25
4,4,2015-11-22,N,Bowling Green State,L,72,79,24,65,.369,14,33,.424,10,19,.526,7,31,12,6,1,13,28,,26,57,.456,8,18,.444,19,28,.679,7,44,19,5,3,14,19
5,5,2015-11-23,N,North Dakota,W,79,69,34,61,.557,4,15,.267,7,15,.467,4,33,20,8,2,9,23,,24,61,.393,6,23,.261,15,24,.625,12,39,12,5,0,14,20
6,6,2015-11-25,,Thiel,W,69,55,22,52,.423,3,13,.231,22,27,.815,10,38,12,11,3,20,10,,22,55,.400,6,19,.316,5,9,.556,5,22,15,15,4,19,21
7,7,2015-11-28,@,Niagara,W,88,70,35,71,.493,10,21,.476,8,10,.800,14,34,18,7,4,4,9,,27,57,.474,10,27,.370,6,8,.750,8,27,16,2,0,12,11
8,8,2015-12-02,,Robert Morris,W,65,58,24,56,.429,8,25,.320,9,15,.600,10,30,17,9,0,8,9,,21,53,.396,11,32,.344,5,6,.833,7,30,14,4,3,14,14
9,9,2015-12-04,,American,L,56,60,24,55,.436,6,20,.300,2,2,1.000,6,24,14,2,3,13,11,,23,53,.434,10,28,.357,4,6,.667,7,27,14,9,2,9,10
10,10,2015-12-12,@,Purdue,L,64,95,24,69,.348,7,24,.292,9,11,.818,5,23,15,5,1,9,23,,33,60,.550,10,21,.476,19,28,.679,8,41,26,3,6,10,13
11,11,2015-12-15,,Geneva,W,99,58,39,67,.582,7,23,.304,14,26,.538,9,33,25,28,1,15,9,,24,59,.407,3,24,.125,7,9,.778,10,36,9,11,2,32,17
12,12,2015-12-19,@,Michigan,L,46,105,17,57,.298,7,23,.304,5,13,.385,5,21,9,3,1,11,15,,40,65,.615,12,30,.400,13,18,.722,8,44,29,7,3,6,11
13,13,2015-12-21,@,Notre Dame,L,78,87,29,62,.468,9,22,.409,11,17,.647,8,29,16,8,1,14,18,,32,60,.533,6,24,.250,17,24,.708,9,32,21,10,8,11,13
14,14,2016-01-02,@,Detroit,L,87,96,31,60,.517,9,27,.333,16,23,.696,3,19,17,12,1,12,23,,33,69,.478,5,21,.238,25,29,.862,17,47,18,5,1,18,20
15,15,2016-01-04,@,Oakland,W,100,98,36,85,.424,16,32,.500,12,14,.857,14,46,24,6,4,10,20,,34,73,.466,13,27,.481,17,25,.680,10,43,21,6,4,13,15
16,16,2016-01-07,,Milwaukee,L,65,81,22,52,.423,7,17,.412,14,17,.824,4,23,9,5,1,8,15,,30,60,.500,13,30,.433,8,9,.889,9,34,22,4,1,9,15
17,17,2016-01-09,,Green Bay,W,103,93,32,63,.508,11,20,.550,28,34,.824,6,37,16,13,8,17,24,,33,81,.407,8,30,.267,19,32,.594,18,45,16,10,4,16,24
18,18,2016-01-14,@,Northern Kentucky,L,64,84,24,62,.387,5,14,.357,11,15,.733,5,31,13,1,4,9,11,,36,75,.480,8,24,.333,4,6,.667,9,44,22,5,5,7,16
19,19,2016-01-16,@,Wright State,L,45,81,15,52,.288,4,16,.250,11,17,.647,8,35,3,3,1,18,15,,31,63,.492,7,26,.269,12,18,.667,6,34,18,10,1,5,20
20,20,2016-01-18,,Valparaiso,L,65,96,24,58,.414,6,19,.316,11,17,.647,4,18,8,3,2,9,17,,34,72,.472,10,27,.370,18,19,.947,19,47,14,7,3,9,20
21,21,2016-01-24,N,Cleveland State,W,70,55,22,55,.400,7,22,.318,19,25,.760,7,33,13,11,1,7,18,,18,51,.353,5,18,.278,14,20,.700,8,33,7,3,1,15,18
22,22,2016-01-28,@,UIC,W,82,78,29,71,.408,14,27,.519,10,13,.769,8,37,21,4,7,13,23,,28,70,.400,5,19,.263,17,31,.548,15,49,16,8,8,16,18
23,23,2016-01-30,@,Valparaiso,L,68,97,18,54,.333,6,19,.316,26,35,.743,4,23,8,3,2,8,21,,34,62,.548,9,18,.500,20,26,.769,10,44,19,5,2,11,27
24,24,2016-02-04,,Oakland,L,85,107,35,75,.467,5,10,.500,10,12,.833,6,25,12,5,4,9,15,,39,73,.534,10,26,.385,19,23,.826,14,45,26,3,5,12,13
25,25,2016-02-06,,Detroit,L,92,94,35,63,.556,13,28,.464,9,17,.529,7,30,20,4,2,13,20,,35,65,.538,8,17,.471,16,25,.640,7,30,15,9,2,12,17
26,26,2016-02-13,,Cleveland State,L,59,64,19,53,.358,5,24,.208,16,25,.640,8,30,9,5,2,15,16,,23,50,.460,3,11,.273,15,19,.789,7,32,7,6,1,14,22
27,27,2016-02-16,,UIC,W (2 OT),92,91,35,97,.361,5,25,.200,17,21,.810,16,45,11,13,2,6,19,,38,88,.432,6,21,.286,9,24,.375,18,60,12,4,9,17,19
28,28,2016-02-20,@,Green Bay,L,90,107,34,62,.548,12,19,.632,10,12,.833,5,25,23,2,4,14,13,,43,81,.531,13,31,.419,8,12,.667,17,35,25,11,5,4,10
29,29,2016-02-22,@,Milwaukee,L,51,87,18,59,.305,3,22,.136,12,16,.750,6,28,7,3,4,9,19,,29,64,.453,9,24,.375,20,27,.741,12,44,14,4,3,5,16
30,30,2016-02-25,,Wright State,L,81,87,30,59,.508,9,18,.500,12,13,.923,5,26,13,4,3,16,20,,33,54,.611,3,12,.250,18,29,.621,4,27,22,6,5,9,15
31,31,2016-02-27,,Northern Kentucky,W,94,75,30,57,.526,9,19,.474,25,33,.758,4,34,17,5,2,9,15,,29,77,.377,8,34,.235,9,13,.692,13,35,17,4,3,9,25
32,32,2016-03-05,N,Detroit,L,79,92,26,56,.464,8,20,.400,19,27,.704,6,26,17,7,2,12,15,,33,69,.478,7,20,.350,19,21,.905,16,39,17,6,4,14,22
